fixture_id,data,partida,time,team_id,local_visitante,adversario,adversario_id,resultado,league_id,season_id,state_id,Escanteios,Posse de bola (%),Gols,Assistências,Cartões vermelhos,Cartões amarelos,Dribles bem-sucedidos (%)
19722813,2026-08-09 12:30:00,Kilmarnock vs Celtic,Celtic,53,away,Kilmarnock,180,2,501,28275,5,7,64,5,3,,0,50
19722818,2026-08-03 18:30:00,Celtic vs Dundee,Celtic,53,home,Dundee,284,2,501,28275,5,9,66,1,1,,1,64
19700207,2026-05-16 11:30:00,Celtic vs Hearts,Celtic,53,home,Hearts,314,2,501,25598,5,9,67,3,2,,6,50
19700209,2026-05-13 19:00:00,Motherwell vs Celtic,Celtic,53,away,Motherwell,309,2,501,25598,5,3,52,3,1,,3,36
19700214,2026-05-10 11:00:00,Celtic vs Rangers,Celtic,53,home,Rangers,62,2,501,25598,5,1,51,3,2,,6,40
19700221,2026-05-03 11:00:00,Hibernian vs Celtic,Celtic,53,away,Hibernian,66,2,501,25598,5,13,81,2,1,0,3,50
19700229,2026-04-25 16:30:00,Celtic vs Falkirk,Celtic,53,home,Falkirk,770,2,501,25598,5,9,55,3,2,,2,64
19428232,2026-04-11 14:00:00,Celtic vs St. Mirren,Celtic,53,home,St. Mirren,496,2,501,25598,5,3,56,1,,,0,21
19428225,2026-04-05 15:30:00,Dundee vs Celtic,Celtic,53,away,Dundee,284,2,501,25598,5,4,58,2,2,0,2,47
19592463,2026-03-22 12:30:00,Dundee United vs Celtic,Celtic,53,away,Dundee United,282,0,501,25598,5,6,74,0,0,,2,45
