data,competicao,mandante,visitante,gols_mandante,gols_visitante,status,resultado_do_time
2026-08-16,Campeonato Brasileiro Série A,Atlético-MG,Grêmio,3,0,FINISHED,D
2026-08-08,Campeonato Brasileiro Série A,Grêmio,São Paulo,2,1,FINISHED,V
2026-08-05,Copa do Brasil,Grêmio,Mirassol,1,0,FINISHED,V
2026-08-02,Copa do Brasil,Mirassol,Grêmio,1,1,FINISHED,E
2026-07-30,Copa Sul-Americana,Grêmio,Bolívar,0,1,FINISHED,D
2026-07-26,Campeonato Brasileiro Série A,Grêmio,Fluminense,1,1,FINISHED,E
2026-07-23,Copa Sul-Americana,Bolívar,Grêmio,3,2,FINISHED,D
2026-07-17,Campeonato Brasileiro Série A,Mirassol,Grêmio,2,1,FINISHED,D
2026-07-12,Amistoso de Clubes,Cruzeiro,Grêmio,1,3,FINISHED,V
2026-07-04,Amistoso de Clubes,Grêmio,Chapecoense,1,2,FINISHED,D
