data,competicao,mandante,visitante,gols_mandante,gols_visitante,status,resultado_do_time
2026-08-17,Campeonato Brasileiro Série A,Internacional,Remo,1,1,FINISHED,E
2026-08-09,Campeonato Brasileiro Série A,Palmeiras,Internacional,0,0,FINISHED,E
2026-08-06,Copa do Brasil,Corinthians,Internacional,2,1,FINISHED,D
2026-08-02,Copa do Brasil,Internacional,Corinthians,2,0,FINISHED,V
2026-07-29,Campeonato Brasileiro Série A,Internacional,Flamengo,1,1,FINISHED,E
2026-07-25,Campeonato Brasileiro Série A,Athletico-PR,Internacional,2,0,FINISHED,D
2026-07-22,Campeonato Brasileiro Série A,Internacional,Cruzeiro,1,2,FINISHED,D
2026-05-31,Campeonato Brasileiro Série A,RB Bragantino,Internacional,3,1,FINISHED,D
2026-05-23,Campeonato Brasileiro Série A,Vitória,Internacional,2,0,FINISHED,D
2026-05-16,Campeonato Brasileiro Série A,Internacional,Vasco da Gama,4,1,FINISHED,V
